id,title,location,department,industry,salary_range,work_from_home,company_logo,screening_round,employment_type,required_experience,required_education,is_authentic
17693,Administrative Assistant,Sacramento,Information Technology,Education Management,34000-42000,0,0,0,Full-time,Entry level,,0
14476,Junior Lifestyle Consultant,Athens,Administrative,Telecommunications,,0,1,1,Full-time,Not Applicable,Bachelor's Degree,1
14799,Licensed Clinician,Athens,Other,Financial Services,,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,1
10409,English Teacher Abroad ,Sacramento,Engineering,Education Management,,0,1,1,Contract,,Bachelor's Degree,1
13359,Senior Sales Executive - West,San Francisco,Administrative,Consumer Services,,1,1,1,Full-time,Executive,Bachelor's Degree,1
4604,M50 3XP Apprentice Recruitment Consultant government funding for 16-18 year olds only,Sacramento,Education,Hospital & Health Care,,0,1,0,Full-time,,,1
8253,Civil Engineer II,New York,Engineering,Marketing and Advertising,,0,0,0,Full-time,,,0
3246,Hiring for Business Analyst,New York,Administrative,Marketing and Advertising,,0,0,0,Contract,,,1
11771,Senior System Engineering Manager ,London,Engineering,Information Technology and Services,,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,0
3948,Project Manager: Engineer,San Francisco,Engineering,Internet,,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,0
3697,"Senior Bank Mortgage Loan Originators for the NW, Indiana area",San Francisco,Other,Consumer Services,,0,1,0,,,,1
16297,UI/UX Designer,New York,Education,Financial Services,240000-600000,0,1,1,Full-time,Entry level,Certification,1
13367,General Secretary,Sacramento,Design,Information Technology and Services,,0,1,1,Full-time,,,1
11711,"Part Time Staff Needed, Weekend Cash Job.",Sacramento,Customer Service,Education Management,,0,0,0,Part-time,,,0
5444,"Controls Engineer - St Louis, MO",New York,Marketing,Internet,,0,1,1,Full-time,Mid-Senior level,Associate Degree,0
2525,Medical Assistant,San Francisco,Information Technology,Hospital & Health Care,,0,0,0,Full-time,Entry level,Certification,1
2295,Sales Account Manager,New York,Design,Education Management,50000-70000,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,1
11423,Dev/Ops Engineer,Sacramento,Health Care Provider,Financial Services,,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,1
3275,Urgent Requirement : Senior Exchange & Active Directory Systems Administrator for Qatar.,New York,Information Technology,Internet,,0,0,1,,,,0
15017,Senior Recruiter ,Sacramento,Education,Internet,,0,1,1,Full-time,Mid-Senior level,Master's Degree,1
13834,Hardware Expert (m/w),Sacramento,Information Technology,Telecommunications,50000-80000,0,1,1,Full-time,Mid-Senior level,Master's Degree,1
5873,Account Manager - AdYapper,Sacramento,Education,Consumer Services,45000-55000,0,1,0,Full-time,Associate,Bachelor's Degree,1
10759,Customer Service Associate ,Sacramento,Health Care Provider,Internet,,0,1,0,Full-time,Associate,High School or equivalent,1
3337,Internship (Finance),Athens,Health Care Provider,Information Technology and Services,4500-4500,0,1,1,Full-time,Internship,Bachelor's Degree,1
5871,Receptionist Office Asst.,London,Customer Service,Information Technology and Services,,0,1,1,Full-time,Entry level,High School or equivalent,0
4578,Senior Sales Professionals,San Francisco,Sales,Education Management,,0,0,0,,,High School or equivalent,0
17609,"Account Sales Managers $80-$130,000/yr",San Francisco,Information Technology,Education Management,,0,1,0,Full-time,Associate,High School or equivalent,0
13712,Mainframe Security Projects Engineer,London,Health Care Provider,Financial Services,,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,1
17224,PR4 2AS Business Admin Apprenticeship available under NAS 16-24 year olds only!,Sacramento,Other,Oil & Energy,,0,1,0,Full-time,Internship,High School or equivalent,1
3420,Seedcamp Summer Intern,San Francisco,Health Care Provider,Telecommunications,,0,1,1,,,,1
